URN,A-level Maths VA,A-level Maths VA lower,A-level Maths VA upper,P8MEAMAT,P8MEAMAT lower,P8MEAMAT upper
131062,0.48,-0.17,1.12,0.38,0.16,0.61
131609,0.51,0.07,0.96,0.38,0.15,0.6
135835,0.07,-0.32,0.46,0.41,0.19,0.63
136137,-0.98,-1.78,-0.18,0.03,-0.21,0.28
136750,0.3,0.0,0.61,0.49,0.22,0.76
141135,-0.34,-0.74,0.06,0.8,0.52,1.09
143129,-0.94,-1.64,-0.25,0.35,0.03,0.67
139364,-0.58,-1.34,0.19,-0.33,-0.79,0.14
133545,-0.32,-0.79,0.15,,,
137935,0.1,-0.55,0.74,0.28,0.07,0.49
138607,0.24,-0.21,0.69,0.31,0.02,0.6
137157,-0.46,-0.71,-0.21,0.35,0.13,0.57
100366,-0.05,-0.34,0.25,,,
100369,0.22,-0.13,0.57,,,
100370,0.3,0.08,0.53,,,
131675,,,,,,
100527,,,,,,
131752,0.09,-0.38,0.57,0.02,-0.22,0.26
136172,-0.15,-0.52,0.22,0.2,-0.06,0.46
130408,,,,,,
143659,0.44,-0.25,1.14,0.08,-0.2,0.37
144962,-0.02,-0.57,0.54,0.09,-0.14,0.31
146031,,,,,,
100455,,,,0.29,0.02,0.56
100458,-0.02,-0.33,0.29,0.56,0.33,0.79
100459,,,,0.17,-0.13,0.48
141250,0.23,-0.76,1.21,,,
134314,-0.18,-0.45,0.1,0.48,0.27,0.69
135587,-0.96,-1.94,0.02,-0.24,-0.48,0.0
140212,-0.03,-0.4,0.33,0.01,-0.2,0.23
149632,0.78,0.31,1.25,-0.21,-0.42,0.01
141931,-0.43,-0.66,-0.19,0.65,0.38,0.91
140603,0.12,-0.55,0.78,,,
100511,,,,,,
100521,0.48,-0.5,1.47,,,
100537,0.37,-0.06,0.8,,,
100539,-0.79,-1.55,-0.03,,,
100540,-0.03,-0.36,0.31,,,
100547,0.82,0.32,1.33,,,
135531,0.27,-0.1,0.64,0.42,0.19,0.65
130411,-0.54,-1.05,-0.02,,,
100590,-0.42,-1.07,0.22,0.68,0.43,0.92
139659,0.44,0.0,0.87,0.63,0.33,0.92
140564,0.91,0.63,1.18,,,
140966,1.11,0.2,2.02,0.06,-0.22,0.34
148555,-0.14,-0.53,0.24,,,
150380,,,,,,
100624,-0.18,-0.87,0.52,-0.23,-0.46,0.0
100625,0.27,-0.21,0.76,0.09,-0.18,0.36
136450,,,,-0.34,-0.55,-0.12
144309,-0.01,-0.51,0.49,-0.36,-0.59,-0.14
100637,-0.52,-0.95,-0.1,-0.08,-0.31,0.15
100638,0.21,-0.16,0.57,0.44,0.22,0.66
137093,-0.42,-0.77,-0.06,-0.42,-0.63,-0.21
100642,-0.3,-0.88,0.29,0.11,-0.21,0.44
100529,-0.26,-0.96,0.43,,,
100648,-0.79,-1.39,-0.19,,,
134815,-1.11,-1.57,-0.64,0.53,0.28,0.79
148003,0.28,-0.63,1.18,0.32,0.03,0.62
100741,0.37,-0.17,0.91,-0.35,-0.55,-0.15
100745,-0.38,-0.85,0.09,0.4,0.18,0.62
150319,-0.34,-0.63,-0.04,,,
132942,-0.05,-0.41,0.3,,,
100754,0.43,-0.01,0.86,,,
100757,0.25,-0.66,1.16,,,
135073,0.51,0.11,0.92,0.08,-0.12,0.28
135070,-0.33,-1.24,0.58,0.33,0.11,0.55
130416,-0.03,-0.33,0.27,,,
140221,-0.08,-0.77,0.62,-0.35,-0.62,-0.08
142178,0.47,0.13,0.81,0.0,-0.22,0.22
145313,0.1,-0.44,0.63,0.37,0.14,0.6
150937,-0.53,-0.99,-0.08,,,
136309,0.24,-0.01,0.49,0.42,0.25,0.58
136298,0.59,0.3,0.89,0.49,0.27,0.71
100849,-0.85,-1.83,0.14,0.39,0.12,0.66
100857,-0.02,-0.27,0.24,1.4,1.16,1.63
138960,0.19,-0.24,0.63,1.3,1.03,1.56
100861,-0.15,-0.34,0.05,,,
100863,0.07,-0.27,0.41,,,
100864,0.07,-0.16,0.31,,,
134222,0.13,-0.19,0.44,0.23,0.03,0.43
131747,-1.14,-1.94,-0.34,-0.14,-0.38,0.1
132711,-0.85,-1.83,0.13,0.33,0.09,0.57
135315,-0.17,-0.81,0.47,0.3,0.06,0.54
135584,0.15,-0.49,0.79,0.21,-0.02,0.45
135816,-0.16,-0.66,0.34,0.54,0.29,0.79
138202,-1.01,-1.68,-0.35,0.2,-0.17,0.58
144756,-1.28,-1.85,-0.72,-0.91,-1.53,-0.29
100965,0.49,0.08,0.9,-0.61,-0.81,-0.4
100966,-1.11,-1.5,-0.71,-0.53,-0.76,-0.3
100967,-1.49,-1.87,-1.12,-0.09,-0.28,0.11
143629,-0.04,-0.34,0.27,0.18,-0.01,0.37
144700,-0.36,-0.66,-0.06,0.17,-0.05,0.39
143379,0.01,-0.29,0.32,0.44,0.25,0.63
137789,-0.89,-1.28,-0.5,0.08,-0.14,0.29
100972,-0.26,-0.78,0.27,0.77,0.5,1.04
100973,-0.38,-0.74,-0.03,0.88,0.68,1.09
100974,0.47,0.05,0.88,0.23,0.02,0.43
100975,-0.83,-1.23,-0.43,0.06,-0.13,0.25
100977,-0.32,-0.66,0.03,0.69,0.49,0.9
150606,0.24,-0.33,0.81,,,
131745,,,,,,
133307,,,,,,
130418,-0.42,-0.6,-0.24,,,
138267,0.15,-0.24,0.54,1.08,0.8,1.35
140985,1.12,0.66,1.59,0.48,0.24,0.71
135762,0.5,-0.1,1.1,-0.18,-0.46,0.09
149543,0.3,-0.16,0.75,1.17,0.93,1.4
136883,-0.19,-0.55,0.16,0.07,-0.16,0.29
141808,0.39,0.0,0.79,0.22,-0.02,0.46
137005,0.13,-0.06,0.32,0.67,0.49,0.85
139842,-0.67,-0.96,-0.38,0.3,0.1,0.49
138681,-0.12,-0.63,0.4,0.07,-0.19,0.32
138682,-0.1,-0.69,0.48,0.63,0.39,0.87
101064,0.35,0.03,0.67,,,
101071,0.31,0.02,0.6,,,
101072,0.08,-0.24,0.4,,,
132237,-0.41,-1.17,0.35,,,
135316,0.1,-0.16,0.36,1.38,1.18,1.57
130422,-0.44,-0.91,0.02,,,
140884,-0.65,-1.12,-0.19,0.39,0.09,0.7
140939,-0.07,-0.23,0.09,,,
145126,-0.16,-0.51,0.19,0.77,0.55,1.0
138313,0.39,0.07,0.71,0.6,0.36,0.83
137353,-0.5,-0.83,-0.17,0.18,-0.06,0.42
138312,-0.06,-0.36,0.24,0.11,-0.17,0.38
101154,-0.13,-0.63,0.37,0.13,-0.1,0.37
139369,-0.24,-0.81,0.33,0.34,0.13,0.56
142336,0.07,-0.32,0.46,,,
144795,,,,,,
101157,-0.54,-1.12,0.05,,,
101158,-0.16,-0.76,0.45,,,
101161,0.41,-0.04,0.87,,,
101162,0.1,-0.1,0.3,,,
101181,-0.29,-1.09,0.51,,,
100536,0.34,-0.39,1.06,,,
130912,-0.17,-0.54,0.19,0.98,0.75,1.2
135242,0.24,-0.23,0.71,1.16,0.85,1.47
135676,-0.4,-0.9,0.11,0.09,-0.13,0.31
143540,0.68,0.01,1.35,,,
130423,-1.89,-2.44,-1.34,,,
139791,-0.06,-0.52,0.4,0.3,0.11,0.5
140962,-0.93,-1.59,-0.26,0.65,0.33,0.96
141178,0.48,0.05,0.91,0.41,0.2,0.62
142908,-0.6,-1.05,-0.14,0.43,0.21,0.66
148932,-0.08,-1.06,0.9,-0.25,-0.97,0.48
101241,0.66,0.36,0.95,-0.12,-0.28,0.04
101243,,,,-0.44,-0.66,-0.22
101244,-0.66,-1.05,-0.26,0.19,0.01,0.37
101245,-0.29,-0.64,0.06,0.08,-0.08,0.24
141683,-0.31,-0.64,0.02,0.5,0.34,0.66
133561,-0.68,-1.14,-0.21,0.08,-0.1,0.25
101247,0.3,-0.14,0.74,0.53,0.33,0.72
136028,-0.41,-0.87,0.06,-0.12,-0.32,0.07
148244,-0.75,-1.16,-0.34,,,
103119,0.05,-0.43,0.54,0.23,0.0,0.47
139410,0.18,-0.73,1.09,0.24,-0.03,0.5
142627,-0.41,-1.05,0.24,1.39,1.01,1.77
144502,0.01,-0.48,0.5,1.53,1.27,1.79
145921,-0.71,-1.17,-0.26,0.3,0.05,0.55
137361,,,,0.14,-0.17,0.44
147238,0.39,-0.06,0.85,1.09,0.74,1.43
149733,1.03,0.66,1.4,,,
137131,-0.76,-1.27,-0.26,0.39,0.16,0.61
138685,-0.75,-1.61,0.1,0.29,0.04,0.54
137388,0.4,0.05,0.75,0.8,0.55,1.05
136658,0.41,0.05,0.77,0.21,0.01,0.42
136418,0.28,-0.07,0.62,0.46,0.25,0.68
138051,-0.48,-0.7,-0.27,0.97,0.66,1.28
137645,-0.36,-0.77,0.06,-0.15,-0.37,0.07
136290,0.36,0.17,0.55,1.33,1.1,1.55
137386,-0.06,-0.31,0.19,0.27,0.08,0.46
101361,0.58,0.27,0.9,1.06,0.8,1.32
101362,-0.26,-0.58,0.06,0.78,0.56,1.01
136308,0.28,0.07,0.5,0.79,0.6,0.97
101364,-0.51,-1.09,0.08,0.29,0.08,0.49
143082,0.41,-0.14,0.96,0.41,0.12,0.69
137539,0.86,0.46,1.27,1.2,0.89,1.51
135747,0.71,0.39,1.04,0.94,0.71,1.16
101367,0.42,0.1,0.74,,,
101369,0.53,-0.2,1.25,,,
140492,0.08,-0.91,1.06,,,
101374,,,,,,
101387,0.61,-0.37,1.59,,,
101388,0.07,-0.92,1.05,,,
101393,0.12,-0.21,0.44,,,
131288,,,,,,
131403,,,,,,
134798,-0.82,-1.14,-0.51,0.85,0.62,1.07
135507,-0.4,-0.69,-0.12,0.99,0.76,1.21
130425,-0.76,-1.18,-0.35,,,
148421,0.04,-0.09,0.17,,,
137769,-0.4,-0.62,-0.18,0.15,-0.05,0.35
137138,-0.2,-1.11,0.71,-0.04,-0.26,0.19
145140,-0.53,-1.11,0.05,0.29,0.07,0.51
137965,1.03,0.12,1.94,-0.36,-0.56,-0.16
137423,0.0,-0.24,0.24,0.95,0.73,1.17
136720,-0.18,-1.09,0.73,-0.38,-0.57,-0.19
138686,0.36,-0.55,1.27,-0.15,-0.38,0.07
136538,0.65,0.05,1.25,-0.41,-0.64,-0.18
136334,-0.38,-0.55,-0.21,0.62,0.4,0.83
135677,-0.22,-0.67,0.24,-0.06,-0.27,0.15
135951,0.2,-0.45,0.84,0.0,-0.24,0.24
140862,0.11,-0.23,0.45,2.49,2.2,2.77
141019,,,,0.44,0.21,0.68
138457,0.22,-0.05,0.48,1.45,1.25,1.66
133724,0.45,0.21,0.68,1.37,1.18,1.56
136656,0.22,-0.1,0.53,0.49,0.31,0.68
137685,0.32,0.01,0.64,0.39,0.22,0.56
138609,0.05,-0.38,0.48,-0.1,-0.32,0.12
137994,-0.03,-0.75,0.7,0.04,-0.25,0.33
138610,0.25,-0.06,0.55,0.92,0.75,1.1
142560,0.55,0.08,1.01,0.95,0.72,1.18
139319,-0.32,-0.69,0.04,0.19,-0.01,0.38
135373,,,,,,
134226,0.62,0.15,1.09,0.33,0.08,0.58
135600,-0.39,-0.75,-0.03,0.32,0.1,0.55
135973,-0.01,-0.55,0.52,0.19,-0.03,0.41
137121,-0.08,-0.5,0.34,0.44,0.22,0.66
137379,-0.52,-1.28,0.25,0.77,0.53,1.0
143427,,,,0.22,-0.05,0.49
144465,,,,-0.23,-0.42,-0.03
136466,0.81,0.14,1.48,-0.68,-0.88,-0.48
136709,0.09,-0.24,0.42,0.02,-0.18,0.22
136464,-0.17,-1.08,0.74,-0.41,-0.6,-0.22
136586,-0.19,-0.42,0.04,0.58,0.38,0.78
136517,-0.16,-0.48,0.15,-0.06,-0.25,0.13
136551,0.06,-0.14,0.25,1.04,0.79,1.28
136644,0.49,0.19,0.8,-0.07,-0.26,0.12
136467,-1.23,-1.75,-0.72,0.12,-0.1,0.35
136545,-0.53,-1.17,0.11,-0.4,-0.61,-0.2
101676,0.15,-0.02,0.33,1.34,1.06,1.62
137006,-0.55,-0.89,-0.22,0.34,0.14,0.53
136540,-0.27,-0.74,0.2,0.13,-0.08,0.33
136355,-0.26,-0.58,0.07,0.09,-0.1,0.27
101680,,,,,,
101683,-1.86,-2.56,-1.17,,,
101685,0.13,-0.54,0.79,,,
138384,,,,,,
101692,0.18,-0.35,0.7,,,
101693,0.05,-0.26,0.36,,,
101695,,,,,,
135670,,,,,,
140952,-0.03,-0.79,0.73,0.14,-0.1,0.37
145875,-0.13,-0.52,0.25,0.38,0.15,0.61
138187,-0.19,-0.72,0.33,-0.03,-0.24,0.17
101811,-0.37,-0.97,0.24,-0.45,-0.72,-0.17
135416,-0.28,-0.45,-0.12,,,
138178,0.1,-0.16,0.37,0.05,-0.12,0.21
138221,-1.05,-1.52,-0.58,0.26,0.03,0.49
149347,-0.55,-1.04,-0.06,0.29,0.05,0.53
137754,0.27,-0.58,1.12,-0.15,-0.36,0.05
137772,,,,-0.64,-0.87,-0.41
137567,-0.01,-0.99,0.98,,,
101835,-0.18,-0.58,0.23,,,
139811,0.23,-0.46,0.93,,,
101837,0.2,-0.08,0.48,,,
101842,0.25,-0.01,0.5,,,
101845,0.27,-0.31,0.86,,,
101846,-0.01,-0.77,0.75,,,
133528,,,,,,
101849,-1.25,-1.85,-0.65,-0.43,-0.65,-0.21
135249,-0.63,-1.12,-0.14,0.13,-0.08,0.34
135311,-0.35,-0.67,-0.03,0.13,-0.09,0.35
135955,0.56,-0.04,1.16,0.61,0.39,0.83
135968,0.26,-0.29,0.82,-0.18,-0.42,0.06
136203,-0.22,-0.89,0.44,-0.18,-0.42,0.05
130432,-0.63,-1.09,-0.17,,,
139725,-0.42,-0.65,-0.19,0.52,0.31,0.73
145724,,,,1.39,1.12,1.67
146318,-0.19,-0.68,0.3,0.19,-0.05,0.44
101928,0.45,0.05,0.84,1.36,1.15,1.56
145348,0.1,-0.2,0.4,0.94,0.74,1.14
137729,0.72,0.39,1.05,0.65,0.47,0.83
131310,0.17,-0.14,0.47,0.55,0.36,0.74
137546,0.01,-0.18,0.2,0.73,0.52,0.94
101934,0.39,0.12,0.65,0.87,0.7,1.04
101939,0.13,-0.28,0.54,-0.02,-0.2,0.17
101940,-0.15,-0.39,0.08,0.67,0.5,0.84
101941,-0.2,-0.65,0.25,0.5,0.28,0.72
137221,0.8,0.47,1.13,0.71,0.51,0.91
101943,-0.45,-1.3,0.4,-0.03,-0.29,0.24
101946,,,,,,
101947,0.19,-0.17,0.56,,,
101954,-0.16,-0.56,0.23,,,
133444,-0.85,-1.23,-0.46,,,
134369,-1.42,-1.89,-0.94,0.15,-0.09,0.39
139599,-0.68,-1.26,-0.09,0.15,-0.05,0.36
139815,0.84,0.04,1.64,0.03,-0.19,0.25
147536,,,,0.54,0.22,0.86
143197,-0.05,-0.5,0.41,0.08,-0.1,0.26
136327,-0.22,-0.59,0.15,0.04,-0.15,0.23
102045,0.21,-0.16,0.57,0.24,0.05,0.44
142727,-0.25,-0.65,0.16,0.49,0.3,0.69
102048,,,,0.29,0.07,0.51
102049,-0.24,-0.96,0.49,-0.34,-0.56,-0.12
144084,,,,-0.49,-0.74,-0.24
132256,0.34,0.01,0.68,0.26,0.07,0.45
102052,-1.17,-2.15,-0.18,-0.36,-0.62,-0.09
102053,,,,0.12,-0.11,0.34
102055,0.09,-0.1,0.27,0.71,0.49,0.93
102058,-0.05,-0.39,0.29,0.85,0.62,1.07
137094,1.35,0.59,2.12,0.07,-0.15,0.3
102065,,,,,,
134311,,,,-0.27,-0.54,-0.01
135958,-0.07,-0.74,0.6,0.22,-0.02,0.45
136147,-0.53,-1.08,0.02,-0.09,-0.29,0.11
140935,0.43,-0.06,0.93,0.81,0.59,1.02
144753,0.15,0.0,0.3,,,
102154,0.24,-0.27,0.74,0.24,0.06,0.43
102156,0.09,-0.19,0.36,0.42,0.24,0.61
137531,0.42,0.18,0.67,0.93,0.73,1.13
139362,0.25,-0.21,0.7,0.34,0.14,0.54
139363,-1.25,-1.81,-0.7,,,
102162,0.33,-0.14,0.81,,,
102163,0.09,-0.12,0.3,,,
133386,-0.5,-0.96,-0.04,0.24,-0.01,0.49
141071,0.68,-0.04,1.41,-0.19,-0.46,0.09
138227,0.69,0.43,0.96,1.28,1.06,1.51
142864,0.27,0.0,0.55,0.74,0.52,0.97
137204,0.21,-0.46,0.88,-0.12,-0.35,0.11
137075,0.0,-0.3,0.3,0.47,0.27,0.66
137199,-0.73,-1.42,-0.03,-0.41,-0.62,-0.19
137028,0.11,-0.11,0.34,0.51,0.34,0.68
102239,0.2,-0.06,0.46,0.41,0.23,0.6
137198,-0.55,-1.2,0.09,0.15,-0.07,0.37
137178,0.52,-0.02,1.06,0.54,0.33,0.74
137177,0.71,0.13,1.3,0.42,0.16,0.68
135469,0.16,0.04,0.28,,,
102245,0.0,-0.24,0.25,,,
102247,0.21,-0.26,0.67,,,
102257,0.2,-0.14,0.54,,,
130440,,,,,,
130443,-0.06,-0.19,0.07,,,
143759,0.59,0.17,1.0,,,
145944,-0.74,-1.36,-0.12,0.08,-0.23,0.4
139307,,,,-0.37,-0.58,-0.16
137040,-0.12,-0.4,0.17,0.56,0.32,0.8
138326,-0.49,-1.01,0.02,-0.08,-0.27,0.12
136600,-0.18,-0.41,0.05,0.31,0.09,0.52
137233,-0.73,-1.32,-0.15,0.39,0.12,0.66
136090,-0.46,-1.06,0.14,-0.2,-0.42,0.01
141035,,,,1.05,0.57,1.52
145121,,,,-0.34,-0.61,-0.08
140748,-0.14,-0.58,0.3,0.41,0.2,0.62
146375,0.7,-0.28,1.68,-0.93,-1.46,-0.39
137407,-0.33,-0.79,0.12,-0.14,-0.35,0.06
136329,-0.26,-0.63,0.11,0.62,0.39,0.84
137633,0.31,0.02,0.61,1.02,0.8,1.25
136519,0.19,-0.2,0.58,-0.24,-0.43,-0.05
137635,0.29,-0.03,0.6,0.37,0.18,0.57
136711,0.23,-0.06,0.53,0.65,0.45,0.84
136768,0.26,-0.14,0.66,0.23,0.02,0.43
137829,-0.08,-0.47,0.31,0.8,0.56,1.03
137077,0.13,-0.4,0.65,0.19,-0.08,0.45
137078,,,,-0.21,-0.58,0.16
137925,0.1,-0.3,0.5,0.2,0.01,0.4
102449,0.37,-0.1,0.84,0.03,-0.18,0.24
136631,0.08,-0.64,0.81,0.26,0.06,0.47
102451,0.19,-0.32,0.7,0.53,0.31,0.75
137844,0.05,-0.24,0.34,0.83,0.63,1.04
102452,0.54,-0.18,1.27,,,
102453,-0.02,-0.4,0.35,,,
130446,0.6,0.25,0.95,,,
138266,0.16,-0.48,0.81,1.43,1.05,1.81
139276,-0.68,-1.24,-0.11,0.91,0.61,1.21
139720,0.05,-0.36,0.46,0.87,0.61,1.13
142126,0.32,-0.59,1.23,-0.79,-1.16,-0.42
142781,-0.55,-1.06,-0.03,0.57,0.11,1.03
144515,-0.07,-0.66,0.51,0.24,-0.05,0.52
145866,0.0,-0.58,0.59,-0.08,-0.32,0.16
137907,0.06,-0.26,0.38,0.22,0.0,0.45
137009,0.12,-0.87,1.1,0.65,0.39,0.92
139095,-2.17,-2.79,-1.55,-0.17,-0.42,0.07
138924,-0.01,-0.51,0.49,0.11,-0.1,0.33
136341,0.52,0.25,0.79,0.55,0.35,0.76
102539,0.04,-0.2,0.28,0.63,0.44,0.81
136522,-0.41,-0.68,-0.14,0.72,0.51,0.93
137940,-0.02,-0.56,0.52,0.22,0.01,0.44
139989,-0.26,-0.86,0.34,0.42,0.18,0.67
137995,-0.27,-0.58,0.03,1.01,0.79,1.23
137928,0.03,-0.51,0.57,0.47,0.25,0.69
102545,0.21,-0.07,0.49,0.94,0.72,1.17
137530,,,,,,
140066,0.18,-0.24,0.6,,,
102551,,,,,,
135090,-1.51,-1.87,-1.14,,,
141862,0.31,-0.04,0.67,1.28,1.04,1.51
137848,-0.21,-0.49,0.07,0.68,0.49,0.88
137917,0.09,-0.39,0.58,0.38,0.13,0.63
136615,-0.1,-0.33,0.13,0.85,0.61,1.08
137060,-0.76,-1.2,-0.31,0.38,0.18,0.59
136910,0.36,0.19,0.52,1.26,1.03,1.48
137299,0.85,0.49,1.21,1.06,0.82,1.29
138459,0.26,-0.18,0.69,0.84,0.59,1.1
137859,,,,0.66,0.41,0.91
137678,0.29,-0.16,0.74,0.34,0.13,0.55
102611,0.09,-0.26,0.43,,,
102619,0.48,0.21,0.76,,,
130448,0.43,-0.26,1.13,,,
145860,-0.15,-0.61,0.31,0.44,0.2,0.67
102673,-0.28,-0.74,0.17,0.26,0.06,0.47
102674,-0.52,-1.28,0.25,0.41,0.19,0.63
102679,0.13,-0.14,0.4,0.67,0.47,0.88
102681,0.15,-0.16,0.46,0.91,0.69,1.13
136509,0.02,-0.21,0.25,,,
102683,0.18,-0.36,0.72,0.17,-0.05,0.38
102684,0.07,-0.12,0.27,,,
102692,0.53,0.18,0.88,,,
101086,,,,,,
131897,-0.52,-0.95,-0.1,0.55,0.35,0.75
134003,0.34,-0.46,1.14,0.59,0.32,0.86
138403,0.11,-0.08,0.3,,,
138196,-0.63,-0.91,-0.34,0.39,0.04,0.75
139703,-0.47,-0.89,-0.05,0.11,-0.09,0.32
142903,0.62,0.26,0.97,-0.2,-0.51,0.1
144511,0.21,0.06,0.36,,,
144739,-1.14,-1.54,-0.74,-0.29,-0.53,-0.05
149431,-0.54,-1.21,0.13,0.42,0.08,0.76
136669,0.5,0.36,0.64,0.16,0.01,0.31
102786,-0.26,-0.52,-0.01,0.13,-0.08,0.35
102787,0.2,-0.12,0.52,0.19,-0.02,0.4
148593,,,,,,
131489,,,,,,
130451,,,,,,
130452,0.1,-0.18,0.39,,,
138518,0.59,0.23,0.94,1.25,1.02,1.47
102849,-0.37,-0.85,0.11,0.07,-0.21,0.34
102850,-0.05,-0.29,0.19,1.17,0.95,1.4
102851,0.13,-0.22,0.48,0.3,0.1,0.49
102852,-0.17,-0.41,0.07,0.71,0.49,0.94
140475,-0.07,-0.33,0.18,1.32,1.14,1.5
102854,0.46,0.21,0.72,0.77,0.59,0.95
140575,0.25,0.04,0.47,0.9,0.74,1.06
102856,-0.11,-0.31,0.08,1.11,0.89,1.34
102857,0.01,-0.28,0.3,1.04,0.81,1.26
102858,0.38,0.02,0.75,-0.01,-0.19,0.17
133405,0.42,0.05,0.79,0.69,0.51,0.87
102860,-0.36,-0.66,-0.05,0.22,0.02,0.41
102861,-0.1,-0.73,0.52,0.19,-0.04,0.41
137418,-1.15,-1.87,-0.42,0.48,0.21,0.76
137088,0.34,-0.01,0.69,0.66,0.43,0.89
136267,-0.03,-0.45,0.39,-0.14,-0.37,0.08
102875,0.12,-0.14,0.39,,,
149297,0.09,-0.33,0.51,0.53,0.29,0.77
141963,0.64,0.17,1.11,0.71,0.43,0.98
138825,0.02,-0.28,0.32,0.76,0.56,0.95
138651,0.08,-0.22,0.37,0.59,0.38,0.79
138460,0.24,-0.13,0.61,0.46,0.25,0.66
138461,0.17,-0.13,0.47,0.21,0.0,0.42
102929,0.41,-0.03,0.85,0.11,-0.12,0.34
102932,-0.04,-0.31,0.23,,,
137018,0.6,-0.04,1.25,,,
102936,,,,,,
102942,0.43,0.25,0.61,,,
102946,0.1,-0.1,0.3,,,
102950,0.44,0.06,0.81,,,
133443,0.04,-0.72,0.8,,,
136208,-0.3,-0.76,0.15,0.39,0.14,0.64
136799,0.21,-0.22,0.63,0.03,-0.16,0.22
136797,-1.14,-1.75,-0.54,0.33,0.12,0.54
143706,0.05,-0.28,0.39,1.22,1.01,1.42
136800,-0.06,-0.29,0.17,0.54,0.37,0.72
147538,-0.7,-1.43,0.02,-0.34,-0.55,-0.13
136914,-0.32,-0.59,-0.06,0.73,0.55,0.92
136756,-0.39,-1.11,0.34,-0.38,-0.61,-0.15
136621,0.17,-0.02,0.37,1.26,1.03,1.49
136795,0.23,0.03,0.42,1.1,0.89,1.31
103009,0.54,0.12,0.95,0.6,0.38,0.82
136785,0.37,0.02,0.71,0.18,0.01,0.35
136787,0.45,0.25,0.64,1.49,1.23,1.76
136789,-0.05,-0.25,0.16,0.85,0.64,1.07
103013,0.15,-0.58,0.87,0.09,-0.11,0.28
136798,0.31,0.11,0.5,1.11,0.86,1.37
103022,0.36,-0.23,0.94,,,
103097,0.25,-0.37,0.88,-0.44,-0.67,-0.22
143385,0.26,-0.13,0.65,0.85,0.59,1.12
145708,,,,-0.6,-0.86,-0.33
103106,0.24,-0.23,0.72,-0.25,-0.46,-0.03
137558,0.58,0.22,0.95,0.21,0.01,0.4
138691,-0.09,-0.53,0.36,-0.31,-0.5,-0.13
103110,-0.3,-0.63,0.03,,,
132727,0.13,-0.21,0.48,0.41,0.19,0.64
130456,,,,,,
130457,-0.17,-0.39,0.05,,,
130458,-0.78,-1.1,-0.46,,,
136944,-0.15,-0.82,0.52,-0.25,-0.48,-0.03
138222,-0.44,-0.74,-0.14,0.57,0.23,0.92
138586,-0.68,-1.16,-0.2,0.57,0.27,0.86
139048,-1.22,-2.03,-0.42,-0.78,-1.01,-0.55
142219,-1.37,-1.97,-0.77,0.07,-0.14,0.28
137346,,,,-0.02,-0.34,0.29
140863,-0.53,-0.76,-0.29,-0.22,-0.44,0.01
148635,,,,,,
136592,-0.13,-0.74,0.47,0.54,0.29,0.79
103493,-0.72,-1.19,-0.25,0.21,-0.06,0.47
143438,0.02,-0.62,0.67,0.24,-0.01,0.48
138937,-1.37,-1.79,-0.96,0.04,-0.2,0.28
136882,0.63,0.03,1.23,0.25,0.0,0.49
103509,-1.16,-2.07,-0.25,-0.06,-0.26,0.13
